State,Total,latitude,longitude
Kenya,606875,0.59988022,37.79593973
South Africa,179910,-29.00034095,25.08390093
Cambodia,21908,12.72004786,104.9069433
Hong Kong S.A.R.,96785,22.39827737,114.11380449999999
India,1041444,22.88578212,79.61197609999999
Israel,287836288,31.46110101,35.00444693
Japan,5199232,37.59230135,138.0308956
Jordan,25775,31.24579091,36.77136104
South Korea,4446856,36.38523983,127.83916090000001
Malaysia,306981,3.78986846,109.69762279999999
Philippines,1047888,11.77536778,122.8839325
Singapore,2507405,1.35876087,103.8172559
Taiwan,707785,23.753992800000002,120.95427279999998
Thailand,2203259,15.11815794,101.0028813
Turkey,473747,39.0616029,35.16895346
United Arab Emirates,395132,23.90528188,54.300167099999996
Vietnam,1140421,16.646016699999997,106.29914699999999
Austria,641156,47.58549439,14.1264761
Belgium,3245348,50.63981576,4.64065114
Bulgaria,27450,42.76890318,25.21552909
Croatia,630717,45.08047631,16.40412899
Czech Republic,322447,49.73341233,15.31240163
Denmark,1116450,55.98125296,10.02800992
Estonia,448358,58.67192972,25.54248537
Finland,113926,64.49884603,26.274665600000002
France,9574691,42.17344011,-2.76172945
Germany,4880909,51.10698181,10.38578051
Greece,357758,39.07469623,22.95555794
Italy,2563595,42.79662641,12.07001339
Latvia,11598,56.85085163,24.91235983
Lithuania,32218,55.32610984,23.88719355
Luxembourg,1138230,49.76725361,6.07182201
Macedonia,92790,41.59530893,21.68211346
Netherlands,3421521,52.100789899999995,5.28144793
Norway,673246,68.75015572,15.34834656
Poland,1279091,52.12759564,19.39012835
Portugal,404025,39.59550671,-8.50104361
Romania,77325,45.85243127,24.97293039
Slovakia,51936,48.70547528,19.47905218
Slovenia,288681,46.11554772,14.80444238
Spain,1865862,40.24448698,-3.64755047
Sweden,3178332,62.77966519,16.74558049
Switzerland,4625349,46.79785878,8.20867471
Ukraine,209938,48.99656673,31.38326469
United Kingdom,56359151,54.12387156,-2.86563164
The Bahamas,15207462,24.29036702,-76.62843038
Canada,36111875,61.36206324,-98.30777028
Mexico,2383169,23.94753724,-102.5234517
British Virgin Islands,19846,18.52585755,-64.47146992
Australia,18069405,-25.73288704,134.49100009999998
Fiji,257235,-17.42858032,165.4519543
Marshall Islands,369228,7.00376358,170.3397612
New Zealand,2749820,-41.81113557,171.4849235
Argentina,461632,-35.3813488,-65.17980692
Bolivia,123334,-16.70814787,-64.68538645
Brazil,1458099,-10.78777702,-53.09783113
Chile,2728685,-37.73070989,-71.38256213
Colombia,16238,3.91383431,-73.08114582
Peru,13789,-9.15280381,-74.38242685
Suriname,19331,4.13055413,-55.9123457
Alabama,6037460876,32.318231,-86.902298
Alaska,163487855,63.588753000000004,-154.493062
Arizona,2098063005,34.048928000000004,-111.093731
Arkansas,80566648,35.20105,-91.83183299999999
California,10252737818,36.778261,-119.41793200000001
Colorado,2929763671,39.550051,-105.782067
Connecticut,2411756787,41.603221000000005,-73.087749
Delaware,102610838,38.910832,-75.52767
District of Columbia,5546178948,38.905985,-77.03341800000001
Florida,2756220932,27.664827000000002,-81.515754
Georgia,846205626,32.157435,-82.907123
Hawaii,340264086,19.898682,-155.66585700000002
Idaho,58657778,44.068202,-114.74204099999999
Illinois,678669784,40.633125,-89.398528
Indiana,448591850,40.551217,-85.602364
Iowa,280844652,41.878003,-93.097702
Kansas,40745343,39.011902,-98.484246
Kentucky,44674763,37.839333,-84.27001800000001
Louisiana,57070029,31.244822999999997,-92.14502399999999
Maine,163353825,45.253783,-69.44546899999999
Maryland,6205206785,39.045755,-76.641271
Massachusetts,3640321171,42.407211,-71.382437
Michigan,853066968,44.314844,-85.602364
Minnesota,370226399,46.729553,-94.6859
Mississippi,701274583,32.354668,-89.398528
Missouri,1255717207,37.964253,-91.83183299999999
Montana,45820468,46.879682,-110.36256599999999
Nebraska,74634499,41.492537,-99.901813
Nevada,242090438,38.802609999999994,-116.419389
New Hampshire,422049898,43.193852,-71.572395
New Jersey,2523332219,40.058324,-74.405661
New Mexico,2108333111,34.97273,-105.03236299999999
New York,1525861309,43.299428000000006,-74.217933
North Carolina,323920068,35.759572999999996,-79.0193
North Dakota,1487225,47.551493,-101.002012
Ohio,4051291625,40.417287,-82.907123
Oklahoma,293979664,35.007752,-97.092877
Oregon,112714693,43.804133,-120.554201
Pennsylvania,2153625189,41.203322,-77.194525
Rhode Island,633391882,41.580095,-71.477429
South Carolina,390764031,33.836081,-81.163725
South Dakota,24396171,43.969515,-99.901813
Tennessee,525189127,35.517491,-86.58044699999999
Texas,3019571996,31.968598999999998,-99.901813
Utah,1512721142,39.32098,-111.093731
Vermont,33926529,44.558803000000005,-72.577841
Virginia,7665095332,37.431573,-78.656894
Washington,1218821380,47.751073999999996,-120.74013899999999
West Virginia,7070121,38.597626,-80.454903
Wisconsin,62413216,43.784440000000004,-88.787868
Wyoming,5263283,43.075967999999996,-107.29028400000001
